"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 03일","9,259.8","9,300.5","9,359.1","9,237.9","569.42K","-0.44%"
"2019년 11월 02일","9,300.6","9,230.3","9,356.7","9,201.2","570.74K","0.76%"
"2019년 11월 01일","9,230.1","9,153.1","9,270.4","9,057.2","689.65K","0.85%"
"2019년 10월 31일","9,152.6","9,157.9","9,378.9","8,959.6","798.93K","-0.06%"
"2019년 10월 30일","9,157.9","9,411.3","9,411.3","9,018.4","789.73K","-2.69%"
"2019년 10월 29일","9,411.3","9,206.5","9,531.3","9,125.3","918.48K","2.22%"
"2019년 10월 28일","9,207.2","9,530.1","9,866.9","9,202.5","1.04M","-3.38%"
"2019년 10월 27일","9,529.6","9,230.6","9,773.2","9,081.0","1.16M","3.24%"
"2019년 10월 26일","9,230.6","8,658.4","10,540.0","8,061.8","1.78M","6.61%"
"2019년 10월 25일","8,658.3","7,422.8","8,697.7","7,404.9","1.18M","16.65%"
"2019년 10월 24일","7,422.7","7,476.8","7,501.5","7,366.3","586.49K","-0.73%"
"2019년 10월 23일","7,477.0","8,031.0","8,055.0","7,329.2","892.08K","-6.90%"
"2019년 10월 22일","8,031.4","8,207.4","8,289.1","8,017.7","570.39K","-2.15%"
"2019년 10월 21일","8,208.2","8,224.1","8,315.3","8,155.7","489.40K","-0.18%"
"2019년 10월 20일","8,223.4","7,957.4","8,288.5","7,889.6","513.91K","3.34%"
"2019년 10월 19일","7,957.3","7,948.3","8,060.2","7,892.4","428.83K","0.11%"
"2019년 10월 18일","7,948.5","8,073.3","8,116.4","7,842.0","505.79K","-1.55%"
"2019년 10월 17일","8,073.3","8,000.4","8,118.2","7,944.4","444.95K","0.91%"
"2019년 10월 16일","8,000.4","8,167.1","8,185.9","7,929.8","538.92K","-2.04%"
"2019년 10월 15일","8,167.2","8,353.4","8,400.2","8,139.5","469.73K","-2.23%"
"2019년 10월 14일","8,353.3","8,281.3","8,374.3","8,222.2","505.02K","0.87%"
"2019년 10월 13일","8,281.5","8,304.3","8,450.2","8,190.6","419.87K","-0.28%"
"2019년 10월 12일","8,304.4","8,267.6","8,394.8","8,260.9","424.02K","0.44%"
"2019년 10월 11일","8,267.8","8,562.2","8,751.1","8,249.7","667.86K","-3.44%"
"2019년 10월 10일","8,562.3","8,566.8","8,638.5","8,438.7","511.46K","-0.05%"
"2019년 10월 09일","8,566.7","8,180.1","8,655.9","8,122.7","636.43K","4.69%"
"2019년 10월 08일","8,182.9","8,198.5","8,323.1","8,118.1","469.04K","-0.19%"
"2019년 10월 07일","8,198.6","7,882.6","8,293.5","7,797.0","604.74K","4.02%"
"2019년 10월 06일","7,881.9","8,127.3","8,145.5","7,834.9","448.80K","-3.02%"
"2019년 10월 05일","8,127.3","8,148.0","8,185.1","8,030.6","360.92K","-0.25%"
"2019년 10월 04일","8,148.1","8,227.6","8,233.6","8,041.4","416.92K","-0.96%"
"2019년 10월 03일","8,226.9","8,363.6","8,391.7","8,090.1","460.97K","-1.64%"
"2019년 10월 02일","8,364.1","8,302.7","8,374.0","8,167.7","405.86K","0.74%"
"2019년 10월 01일","8,302.7","8,285.0","8,486.2","8,187.9","533.95K","0.22%"
"2019년 09월 30일","8,284.3","8,048.9","8,318.5","7,749.0","600.26K","2.92%"
"2019년 09월 29일","8,049.1","8,208.0","8,226.8","7,922.1","418.48K","-1.94%"
"2019년 09월 28일","8,208.5","8,184.5","8,297.2","8,031.1","457.79K","0.29%"
"2019년 09월 27일","8,184.9","8,063.8","8,257.4","7,882.1","561.40K","1.50%"
"2019년 09월 26일","8,063.8","8,432.5","8,463.1","7,773.6","731.03K","-4.37%"
"2019년 09월 25일","8,432.4","8,512.3","8,729.8","8,245.1","696.11K","-0.96%"
"2019년 09월 24일","8,513.9","9,702.7","9,793.8","8,069.4","933.16K","-12.25%"
"2019년 09월 23일","9,702.2","10,031.3","10,048.8","9,656.3","431.10K","-3.28%"
"2019년 09월 22일","10,031.6","9,993.0","10,075.0","9,870.9","337.06K","0.39%"
"2019년 09월 21일","9,993.0","10,172.8","10,177.9","9,939.8","326.17K","-1.77%"
"2019년 09월 20일","10,172.7","10,251.5","10,279.5","10,088.6","362.07K","-0.76%"
"2019년 09월 19일","10,250.5","10,164.6","10,297.6","9,707.6","542.25K","0.84%"
"2019년 09월 18일","10,164.7","10,195.7","10,257.5","10,119.3","318.82K","-0.30%"
"2019년 09월 17일","10,195.7","10,254.6","10,273.6","10,153.5","321.64K","-0.58%"
"2019년 09월 16일","10,255.5","10,311.3","10,360.5","10,108.5","372.53K","-0.54%"
"2019년 09월 15일","10,311.5","10,337.3","10,360.4","10,272.0","255.79K","-0.25%"
"2019년 09월 14일","10,337.3","10,342.2","10,421.4","10,253.7","326.44K","-0.05%"
"2019년 09월 13일","10,342.1","10,415.2","10,441.4","10,174.1","365.52K","-0.70%"
"2019년 09월 12일","10,415.1","10,162.4","10,447.9","10,051.0","413.22K","2.49%"
"2019년 09월 11일","10,162.5","10,104.9","10,257.5","9,908.9","413.06K","0.57%"
"2019년 09월 10일","10,105.4","10,308.7","10,379.8","9,970.7","383.22K","-1.98%"
"2019년 09월 09일","10,309.0","10,402.1","10,478.0","10,095.7","473.76K","-0.90%"
"2019년 09월 08일","10,402.8","10,461.6","10,578.0","10,266.3","339.73K","-0.56%"
"2019년 09월 07일","10,461.1","10,306.9","10,556.4","10,302.3","393.57K","1.47%"
"2019년 09월 06일","10,309.3","10,566.7","10,896.2","10,227.4","643.02K","-2.44%"
"2019년 09월 05일","10,566.9","10,567.8","10,630.7","10,469.9","402.09K","-0.01%"
"2019년 09월 04일","10,568.2","10,611.6","10,783.6","10,388.6","504.45K","-0.42%"
"2019년 09월 03일","10,612.3","10,348.1","10,756.8","10,283.5","578.79K","2.55%"
"2019년 09월 02일","10,348.8","9,728.8","10,431.5","9,720.3","542.79K","6.37%"
"2019년 09월 01일","9,729.3","9,594.7","9,799.5","9,533.6","322.66K","1.41%"
"2019년 08월 31일","9,594.4","9,585.5","9,677.5","9,457.3","311.49K","0.09%"
"2019년 08월 30일","9,585.4","9,494.1","9,675.7","9,370.2","413.92K","0.99%"
"2019년 08월 29일","9,491.0","9,729.1","9,729.1","9,343.0","509.13K","-2.45%"
"2019년 08월 28일","9,729.4","10,184.7","10,271.3","9,629.6","580.29K","-4.47%"
"2019년 08월 27일","10,184.8","10,372.2","10,387.6","10,060.2","419.81K","-1.80%"
"2019년 08월 26일","10,371.8","10,136.0","10,568.2","10,136.0","568.77K","2.32%"
"2019년 08월 25일","10,136.3","10,132.1","10,307.0","9,935.2","422.53K","0.05%"
"2019년 08월 24일","10,131.0","10,389.4","10,415.9","9,917.5","463.85K","-2.48%"
"2019년 08월 23일","10,388.7","10,104.9","10,434.3","9,921.4","436.26K","2.81%"
"2019년 08월 22일","10,105.0","10,141.1","10,218.2","9,777.0","520.75K","-0.36%"
"2019년 08월 21일","10,141.5","10,753.3","10,797.8","9,908.0","717.65K","-5.68%"
"2019년 08월 20일","10,752.6","10,911.2","10,941.6","10,581.0","515.47K","-1.45%"
"2019년 08월 19일","10,910.7","10,312.8","10,923.9","10,267.8","519.01K","5.80%"
"2019년 08월 18일","10,312.7","10,219.3","10,494.9","10,086.7","441.11K","0.93%"
"2019년 08월 17일","10,218.1","10,335.5","10,460.7","10,016.3","497.77K","-1.14%"
